0.2138 0.0000 1.0000 0.0525 
0.2138 0.0000 1.0000 0.0920 
0.2138 1.0000 1.0000 0.0239 
0.2138 0.0000 0.0000 0.0149 
0.0000 0.0000 0.0000 0.0410 
0.3907 0.0000 0.0000 0.0264 
0.2138 0.0000 1.0000 0.1370 
0.2138 1.0000 1.0000 0.0280 
0.2138 1.0000 1.0000 0.0248 
0.2138 1.0000 1.0000 0.0892 
0.2138 1.0000 0.0000 0.0123 
0.0000 0.0000 0.0000 0.0105 
0.0000 0.0000 0.0000 0.0081 
0.2138 1.0000 0.0000 0.0234 
0.2138 0.0000 1.0000 0.0349 
0.2138 0.0000 1.0000 0.0251 
0.2138 0.0000 1.0000 0.1199 
0.2138 0.0000 0.0000 0.0187 
0.0000 0.0000 1.0000 0.0057 
0.2138 1.0000 0.0000 0.0219 
0.0000 0.0000 0.0000 0.0062 
0.6278 1.0000 0.0000 0.0093 
0.3907 0.0000 1.0000 0.0123 
0.2138 0.0000 1.0000 0.4092 
0.0000 0.0000 1.0000 0.0111 
0.0000 1.0000 0.0000 0.0185 
0.3907 1.0000 0.0000 0.0158 
0.0000 1.0000 0.0000 0.0059 
0.2138 0.0000 1.0000 0.0874 
0.2138 0.0000 0.0000 0.0277 
0.2138 0.0000 1.0000 0.0139 
0.0000 1.0000 1.0000 0.0115 
0.0000 0.0000 0.0000 0.0023 
0.2138 1.0000 1.0000 0.0630 
0.2138 0.0000 1.0000 0.2353 
0.0000 1.0000 0.0000 0.0040 
0.0000 1.0000 0.0000 0.0201 
0.2138 1.0000 1.0000 0.0876 
0.7303 0.0000 0.0000 0.0075 
0.5178 0.0000 0.0000 0.0568 
0.3907 0.0000 0.0000 0.0152 
0.2138 0.0000 1.0000 0.0375 
0.2138 1.0000 1.0000 0.1454 
0.0000 0.0000 0.0000 0.0104 
0.3907 0.0000 1.0000 0.0415 
0.2138 1.0000 1.0000 0.0219 
0.3907 0.0000 1.0000 0.3934 
0.2138 0.0000 0.0000 0.0210 
0.0000 1.0000 1.0000 0.0506 
0.3907 0.0000 0.0000 0.0934 
